BCR                                                         ~BCR (BUREAU CENTRAL DE REPARTITION)     ~                                        ~1 RUE JULES LEFEBVRE                    ~                                        ~75431                                   ~ ~PARIS                           ~FRA~   
BCR                                                         ~BCR (BUREAU CENTRAL DE REPARTITION)     ~                                        ~1 RUE JULES LEFEBVRE                    ~                                        ~75431                                   ~ ~PARIS                           ~FRA~   
CLYDE & CO                                                  ~CLYDE & CO                              ~                                        ~St Botolph Building 138 Houndsditch     ~                                        ~London EC3A 7AR                         ~EC3A 7AR~London                          ~GBR~   
AON DEUTSCHLAND                                             ~AON VERSICHERUNGSMAKLER DEUTSCHLAND GMBH~                                        ~Caffamacherreihe 16 -                   ~                                        ~20355 Hamburg                           ~ ~Hamburg                         ~DEU~   
PARISCO AS                                                  ~PARISCO AS                              ~                                        ~Karenslyst Allé 12                      ~                                        ~0212 OSLO                               ~ ~OSLO                            ~NOR~   
PARISCO AS                                                  ~PARISCO AS                              ~                                        ~Karenslyst Allé 12                      ~                                        ~0212 OSLO                               ~ ~OSLO                            ~NOR~   
SEASCOPE GREECE                                             ~SEASCOPE HELLAS S.A                     ~                                        ~89, Papanastasiou Str                   ~                                        ~185 33 Kastella Piraeus                 ~ ~Piraeus                         ~GRC~   
PROTEUS                                                     ~PROTEUS RISK SOLUTIONS NV               ~                                        ~Suikerri 5                              ~                                        ~2000 Antwerp                            ~ ~Antwerp                         ~BEL~   
VANBREDA                                                    ~VANBREDA MARINE S.A.                    ~                                        ~Plantin en Moretuslei 297               ~                                        ~2140 Antwerp                            ~ ~Antwerp                         ~BEL~   
CAMBIASO RISSO MARINE SPA                                   ~CAMBIASO RISSO MARINE SPA               ~                                        ~CORSO ANDREA PODESTA' 1 -               ~                                        ~16128 GENOVA                            ~ ~GENOVA                          ~ITA~   
CAMBIASO RISSO                                              ~CAMBIASO RISSO MARINE SPA               ~                                        ~CORSO ANDREA PODESTA' 1 -               ~                                        ~16128 GENOVA                            ~ ~GENOVA                          ~ITA~   
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   
CARTAN TRADE UK LIMITED                                     ~CARTAN TRADE                            ~                                        ~1 BOULEVARD VICTOR -                    ~                                        ~75015 PARIS                             ~ ~PARIS                           ~FRA~   
THE CHANNEL MANAGING AGENCY LTD                             ~THE CHANNEL SYNDICATE LLOYD'S SYNDICATE ~NO.2015                                 ~10 Lime Street                          ~                                        ~London EC3M 7AA                         ~EC3M 7AA~London                          ~GBR~   
SCOR SE PC SEGMENT                                          ~SCOR SE PC SEGMENT                      ~                                        ~5 avenue Kléber                         ~                                        ~75016 PARIS                             ~75016~PARIS                           ~FRA~   
MDU SERVICES LTD                                            ~MDU SERVICES LIMITED                    ~                                        ~One Canada Quare                        ~                                        ~LONDON E14 5GS                          ~ ~LONDON                          ~GBR~   
SCOR IRELAND P&C                                            ~SCOR IRELAND DAC                        ~                                        ~Whitaker Court, Whitaker Square,        ~Sir John Rogerson's Quay                ~D02 W529 Dublin                         ~ ~Dublin                          ~IRL~   
TM KILN SYNDICATE 1880                                      ~TM KILN SYNDICATE 1880                  ~                                        ~20 Fenchurch Street                     ~                                        ~LONDON EC3M 3BY                         ~ ~LONDON                          ~GBR~   
ARIEL SYNDICATE 1910                                        ~LLOYD’S SYNDICATE 1910                  ~                                        ~3rd Floor 1 King Street                 ~                                        ~London EC2V 8AU                         ~ ~London                          ~GBR~   
AGORA SYNDICATE 3268                                        ~LLOYD'S SYNDICATE 3268                  ~                                        ~40 Lime Street                          ~                                        ~London EC3M 7AW                         ~ ~London                          ~GBR~   
AGORA SYNDICATE 3268                                        ~LLOYD'S SYNDICATE 3268                  ~                                        ~40 Lime Street                          ~                                        ~London EC3M 7AW                         ~ ~London                          ~GBR~   
BEAT SYNDICATE 4242                                         ~BEAT SYNDICATE 4242                     ~                                        ~5th Floor Camomile Court 23 Camomile    ~Street                                  ~London EC3A 7LL                         ~ ~London                          ~GBR~   
AGORA SYNDICATE 3268                                        ~LLOYD'S SYNDICATE 3268                  ~                                        ~40 Lime Street                          ~                                        ~London EC3M 7AW                         ~ ~London                          ~GBR~   
SKULD SYNDICATE 1897                                        ~SKULD SYNDICATE 1897                    ~                                        ~Forum House, 7th Floor 15-18 LIME STREET~                                        ~LONDON EC3M 7AN                         ~ ~LONDON                          ~GBR~   
ARIEL SYNDICATE 1910                                        ~LLOYD’S SYNDICATE 1910                  ~                                        ~3rd Floor 1 King Street                 ~                                        ~London EC2V 8AU                         ~ ~London                          ~GBR~   
RENAISSANCERE SYND MNGT                                     ~RENAISSANCERE SYNDICATE MANAGEMENT LTD  ~                                        ~18th Floor 125 Old Broad Street         ~                                        ~London EC2N 1AR                         ~ ~London                          ~GBR~   
ARIEL SYNDICATE 1910                                        ~LLOYD’S SYNDICATE 1910                  ~                                        ~3rd Floor 1 King Street                 ~                                        ~London EC2V 8AU                         ~ ~London                          ~GBR~   
ARIEL SYNDICATE 1910                                        ~LLOYD’S SYNDICATE 1910                  ~                                        ~3rd Floor 1 King Street                 ~                                        ~London EC2V 8AU                         ~ ~London                          ~GBR~   
RENAISSANCERE SYND MNGT                                     ~RENAISSANCERE SYNDICATE MANAGEMENT LTD  ~                                        ~18th Floor 125 Old Broad Street         ~                                        ~London EC2N 1AR                         ~ ~London                          ~GBR~   
ARGO SYNDICATE 1200                                         ~ARGO MANAGING AGENCY LIMITED            ~                                        ~Exchequer Court 33 St Mary Axe          ~                                        ~LONDON EC3A 8AA                         ~ ~LONDON                          ~GBR~   
CANOPIUS SYNDICATE 4444                                     ~SYNDICATE 4444 LLOYD'S SYNDICATE        ~LLOYD'S SYNDICATE                       ~One Lime Street                         ~                                        ~London EC3M 7HA                         ~ ~London                          ~GBR~   
SYND44/779/1206/1861/5820                                   ~AMTRUST / ANV SYNDICATES LIMITED        ~                                        ~1 Minster Court, 4th Floor Mincing Lane ~                                        ~London , EC3R 7AA                       ~ ~London                          ~GBR~   
BBVA BROKER                                                 ~BBVA BROKER                             ~                                        ~c/Alcalá, 17 Pl. 7                      ~                                        ~28014 MADRID                            ~ ~MADRID                          ~ESP~112
MARSH & MC LENNAN FRANCE                                    ~MARSH & MCLENNAN COMPANIES FRANCE S.A.S ~                                        ~Tour Ariane La Défense 9                ~                                        ~92088  CEDEX Paris La Défense           ~280582 F~PUTEAUX                         ~FRA~   
SIRIUS - ZURICH BRANCH                                      ~SIRIUS INTERNATIONAL INSURANCE CORP,    ~STOCKHOLM, ZURICH BRANCH                ~Dreikönigstrasse 12 P.O. Box 2807, 8022 ~Zurich                                  ~8002 Zurich                             ~ ~Zurich                          ~CHE~   
A.M.M.A.                                                    ~A.M.M.A. ASSURANCES                     ~                                        ~Avenue des Arts , 39 / 1                ~                                        ~1040 BRUXELLES                          ~ ~BRUXELLES                       ~BEL~   
GUY CARPENTER                                               ~GUY CARPENTER & COMPANY, S.A.S          ~                                        ~Tour Ariane 5 place de la Pyramide - La ~D?fense 9                               ~92088 CEDEX PARIS LA DEFENSE            ~ ~PARIS LA DEFENSE                ~FRA~   
GTAM/GTRM                                                   ~GROUPEMENT TEMPORAIRE D'ASS MEDICALE    ~                                        ~Tour Gallieni 2,                        ~36, avenue du Général De Gaulle         ~93175 Bagnolet cedex                    ~ ~Bagnolet                        ~FRA~   
GTAM/GTRM                                                   ~GROUPEMENT TEMPORAIRE D'ASS MEDICALE    ~                                        ~Tour Gallieni 2,                        ~36, avenue du Général De Gaulle         ~93175 Bagnolet cedex                    ~ ~Bagnolet                        ~FRA~   
GTAM/GTRM                                                   ~GROUPEMENT TEMPORAIRE D'ASS MEDICALE    ~                                        ~Tour Gallieni 2,                        ~36, avenue du Général De Gaulle         ~93175 Bagnolet cedex                    ~ ~Bagnolet                        ~FRA~   
GTAM/GTRM                                                   ~GROUPEMENT TEMPORAIRE D'ASS MEDICALE    ~                                        ~Tour Gallieni 2,                        ~36, avenue du Général De Gaulle         ~93175 Bagnolet cedex                    ~ ~Bagnolet                        ~FRA~   
GTAM/GTRM                                                   ~GROUPEMENT TEMPORAIRE D'ASS MEDICALE    ~                                        ~Tour Gallieni 2,                        ~36, avenue du Général De Gaulle         ~93175 Bagnolet cedex                    ~ ~Bagnolet                        ~FRA~   
GTAM/GTRM                                                   ~GROUPEMENT TEMPORAIRE D'ASS MEDICALE    ~                                        ~Tour Gallieni 2,                        ~36, avenue du Général De Gaulle         ~93175 Bagnolet cedex                    ~ ~Bagnolet                        ~FRA~   
GTAM/GTRM                                                   ~GROUPEMENT TEMPORAIRE D'ASS MEDICALE    ~                                        ~Tour Gallieni 2,                        ~36, avenue du Général De Gaulle         ~93175 Bagnolet cedex                    ~ ~Bagnolet                        ~FRA~   
AON BENFIELD LATIN AMERICA S.A.                             ~AON BENFIELD ARGENTINA S.A.             ~                                        ~Emma de la Barra 353 - Piso 4           ~                                        ~C1107CQA - C. A. DE Buenos Aires        ~ ~Buenos Aires                    ~ARG~   
SHOMERA                                                     ~SHOMERA                                 ~                                        ~13 Hasivim St.                          ~                                        ~49517 PETAH-TIKVA                       ~ ~PETAH-TIKVA                     ~ISR~   
AON SINGAPORE (BROKING CENTRE) PTE LTD                      ~AON SINGAPORE (BROKING CENTRE) PTE. LTD.~                                        ~2 Shenton Way - #26-01 SGX Centre I     ~                                        ~Singapore 068804                        ~ ~Singapore                       ~SGP~   
AXA INSURANCE EGYPT                                         ~AXA INSURANCE EGYPT                     ~                                        ~to be defined                           ~                                        ~Cairo 1000                              ~ ~Cairo                           ~EGY~   
Kennedys Law LLP                                            ~KENNEDYS LAW                            ~                                        ~25 Fenchurch Avenue                     ~                                        ~London EC3M 5AD                         ~ ~London                          ~GBR~   
CENTURY INDEMNITY COMPANY                                   ~CENTURY INDEMNITY COMPANY               ~C/O RESOLUTE MANAGEMENT INC             ~510 Walnut Street, WB12R                ~                                        ~Philadelphia PA 19106                   ~ ~Philadelphia                    ~USA~PA 
CENTURY INDEMNITY COMPANY                                   ~CENTURY INDEMNITY COMPANY               ~C/O RESOLUTE MANAGEMENT INC             ~510 Walnut Street, WB12R                ~                                        ~Philadelphia PA 19106                   ~ ~Philadelphia                    ~USA~PA 
ALLSTATE INSCO                                              ~ALLSTATE INSURANCE COMPANY              ~DBA COMMERCIAL DIVISION                 ~51 West Higgins Road                    ~                                        ~South Barrington, IL  60010             ~60010~South Barrington                ~USA~IL 
GLOBAL AEROSPACE\AAU                                        ~GLOBAL AEROSPACE INC                    ~                                        ~115 Tabor Road Suite 3A                 ~                                        ~Morris Plains NJ 07950                  ~ ~Morris Plains                   ~USA~NJ 
CENTURY INDEMNITY COMPANY                                   ~CENTURY INDEMNITY COMPANY               ~C/O RESOLUTE MANAGEMENT INC             ~510 Walnut Street, WB12R                ~                                        ~Philadelphia PA 19106                   ~ ~Philadelphia                    ~USA~PA 
Acrisure Re UK Limited                                      ~ACRISURE RE HOLDINGS LIMITED            ~                                        ~NEW LONDON HOUSE 8TH FLOOR - 6 LONDON   ~STREET                                  ~LONDON EC3R 7LP                         ~ ~LONDON                          ~GBR~   
Howden Speciality Luxembourg Sarl NST Client account        ~HOWDEN SPECIALTY LUXEMBOURG S.A.R.L     ~                                        ~2 Rue des Girondins                     ~                                        ~1626 Luxembourg                         ~ ~Luxembourg                      ~LUX~   
HOWDEN INS BROKERS Ltd                                      ~HOWDEN INSURANCE BROKERS LIMITED        ~                                        ~1 Creechurch Place -                    ~                                        ~LONDON EC3A 5AF                         ~ ~LONDON                          ~GBR~   
PRACTICAL INSURANCE LLC                                     ~PRACTICAL DAATGAL LLC                   ~                                        ~Peace Avenue-4, Express Tower, 9th floor~                                        ~ULAN-BATOR 210644                       ~ ~ULAN-BATOR                      ~MNG~   
SG P&C ZURICH BRANCH                                        ~SCOR GLOBAL P&C SE ZURICH BRANCH        ~                                        ~GENERAL GUISAN-QUAI 26                  ~                                        ~8022 ZURICH                             ~ ~ZURICH                          ~CHE~   
GALLAGHER RE                                                ~ARTHUR J. GALLAGHER (UK) LIMITED        ~                                        ~The Walbrook Building - 25 Walbrook     ~                                        ~LONDON EC4N 8AW                         ~ ~LONDON                          ~GBR~   
Aon re BELGIUM                                              ~AON BENFIELD                            ~                                        ~Avenue E. Van Nieuwenhuyse Laan 6       ~                                        ~B - 1160 Bruxelles                      ~ ~Bruxelles                       ~BEL~   
Integra Technical Services (Middle East) Ltd                ~INTEGRA TECHNICAL SERVICES              ~                                        ~148 Leadenhall Street                   ~                                        ~London EC3V 4QT                         ~ ~London                          ~GBR~   
Lloyd Warwick International (South Africa) Pty Ltd          ~LLOYD WARWICK                           ~                                        ~The Gabba, 2nd Floor, The Campus, 57    ~Sloane Street, Bryanston                ~Johannesburg 2191                       ~ ~Johannesburg                    ~ZAF~   
LOCKTON (MENA) LIMITED                                      ~LOCKTON (MENA) LIMITED                  ~                                        ~Gate Precinct 2, 2nd floor, DIFC P.O.   ~Box: 506794                             ~Dubai                                   ~ ~Dubai                           ~ARE~   
Kennedys Law LLP                                            ~KENNEDYS LAW                            ~                                        ~25 Fenchurch Avenue                     ~                                        ~London EC3M 5AD                         ~ ~London                          ~GBR~   
C.R.S-CAPITAL RELIEF SOLUTIONS                              ~CAPITAL RELIEF SOLUTIONS                ~                                        ~23 Bar Kochva Street, V Tower, 9th floor~                                        ~5126002 Bnei-Brak                       ~ ~Bnei-Brak                       ~ISR~   
MUSCAT INSURANCE COMPANY SAOC                               ~MUSCAT INSURANCE COMPANY SAOC           ~                                        ~Building No. 848, Block 17/2 Al Khuwair ~Service Road, P.O. Box 72               ~112 Ruwi                                ~ ~Ruwi                            ~OMN~   
TURKIYE SIGORTA                                             ~TURKIYE SIGORTA ANONIM SIRKETI          ~BIRLIGI                                 ~GUNES SIGORTA APARTMANI, NO:110-1       ~ESENTEPE MAHALLESI - BÜYÜKDERE CADDESI, ~34394 Istanbul (Europe)                 ~ ~Istanbul (Europe)               ~TUR~   
RSA ACG                                                     ~ASEGURADORA DE CREDITOS Y GARANTIAS S.A.~                                        ~Maipu 71                                ~                                        ~C1084ABA - C. A. de Buenos Aires        ~ ~Buenos Aires                    ~ARG~   
Arthur J Gallagher Nordic AB Belgium Branch                 ~NORDIC FÖRSÄKRING & RISKHANTERING AB    ~                                        ~Posthofbrug 6 8 PB 5/134 -              ~                                        ~2600 Antwerpen                          ~ ~Antwerpen                       ~BEL~   
Willkie Farr & Gallagher UK LLP                             ~WILLKIE FARR & GALLAGHER (UK) LLP       ~CITY POINT                              ~1 ROPEMAKER STREET                      ~                                        ~LONDON EC2Y 9AW                         ~ ~LONDON                          ~GBR~   
Arthur J Gallagher Nordic AB Belgium Branch                 ~NORDIC FÖRSÄKRING & RISKHANTERING AB    ~                                        ~Posthofbrug 6 8 PB 5/134 -              ~                                        ~2600 Antwerpen                          ~ ~Antwerpen                       ~BEL~   
AON BELGIUM BV UK BRANCH Client EUR                         ~AON BELGIUM BV                          ~                                        ~The Aon Centre, The Leadenhall Building,~122 Leadenhall Street                   ~LONDON EC3V 4AN                         ~EC3V4AN~LONDON                          ~GBR~   
AON BELGIUM BV UK BRANCH Client EUR                         ~AON BELGIUM BV                          ~                                        ~The Aon Centre, The Leadenhall Building,~122 Leadenhall Street                   ~LONDON EC3V 4AN                         ~EC3V4AN~LONDON                          ~GBR~   
DWF Law LLP Client Account                                  ~DWF LLP                                 ~                                        ~1 Scott Place, 2 Hardman Street -       ~                                        ~MANCHESTER M3 3AA                       ~ ~MANCHESTER                      ~GBR~   
DWF Law LLP Client Account                                  ~DWF LLP                                 ~                                        ~1 Scott Place, 2 Hardman Street -       ~                                        ~MANCHESTER M3 3AA                       ~ ~MANCHESTER                      ~GBR~   
GUY CARPENTER                                               ~GUY CARPENTER & COMPANY S.A.            ~                                        ~AVENUE HERRMANN-DEBROUX 2               ~                                        ~1160 BRUXELLES                          ~ ~BRUXELLES                       ~BEL~   
ARABIA INSURANCE COMPANY SAL                                ~ARABIA INSURANCE CO. LTD.               ~                                        ~ARABIA HOUSE, PHOENICIA STREET PO BOX   ~11-2172                                 ~BEIRUT                                  ~ ~BEIRUT                          ~LBN~   
AROPE                                                       ~AROPE INSURANCE SAL                     ~                                        ~-                                       ~                                        ~Beirut 113-5686                         ~ ~Beirut                          ~LBN~   
HOWDEN RE S.P.A.                                            ~HOWDEN ITALIA SPA                       ~                                        ~VIA COSTANZA ARCONATI 1 -               ~                                        ~20135 MILANO                            ~ ~MILANO                          ~ITA~   
HAREL INSURANCE COMPANY LTD                                 ~SHIRBIT INSURANCE COMPANY LTD           ~                                        ~18/22 Yad Harutzim Street               ~                                        ~ NETANYA                                ~ ~NETANYA                         ~ISR~   
S.M.A.B.T.P.                                                ~SMABTP * SOCIETE MUTUELLE DU BATIMENT & ~TRAVAUX PUBLICS                         ~8, rue Louis Armand CS 71201            ~                                        ~75738 PARIS CEDEX 15                    ~ ~PARIS CEDEX 15                  ~FRA~   
SURAVENIR ASSURANCES SA                                     ~SURAVENIR ASSURANCES SA                 ~                                        ~2 Rue Vasco de Gama Saint Herblain      ~                                        ~44931 NANTES CEDEX 9                    ~ ~NANTES CEDEX 9                  ~FRA~   
AK SIGORTA                                                  ~AK SIGORTA                              ~                                        ~Poligon Cad. Buyaka 2 Sitesi No: 8 Kule:~1 Kat: 0-6                              ~34771 ÜMRANIYE Istanbul                 ~ ~ÜMRANIYE Istanbul               ~TUR~   
Compensation and Insurance Account                          ~SHUAA ENERGY 2 PSC                      ~                                        ~Private Building, Al Quoz, 3-Bur Dubai -~                                        ~Dubai                                   ~ ~Dubai                           ~ARE~   
AON BELGIUM BV UK BRANCH Client USD                         ~AON BELGIUM BV                          ~                                        ~The Aon Centre, The Leadenhall Building,~122 Leadenhall Street                   ~LONDON EC3V 4AN                         ~EC3V4AN~LONDON                          ~GBR~   
HAREL Insurance Company LTD                                 ~HAREL INSURANCE COMPANY LTD             ~                                        ~3 Aba Hilel, Floor 21 -                 ~                                        ~5252202 RAMAT GAN                       ~ ~RAMAT GAN                       ~ISR~   
Guy Carpenter Co GmbH London FID                            ~GUY CARPENTER & COMPANY GMBH            ~                                        ~1 Tower Place West                      ~                                        ~LONDON EC3R 5BU                         ~EC3R5BU~LONDON                          ~GBR~   
Arthur J Gallagher Nordic AB Belgium Branch                 ~NORDIC FÖRSÄKRING & RISKHANTERING AB    ~                                        ~Posthofbrug 6 8 PB 5/134 -              ~                                        ~2600 Antwerpen                          ~ ~Antwerpen                       ~BEL~   
SCOR RE ASIA AUS BRANCH                                     ~SCOR REINSURANCE ASIA PACIFIC PTE LTD   ~AUSTRALIA BRANCH                        ~Level 33                                ~1 O'Connell Street                      ~SYDNEY  NSW  2001                       ~ ~SYDNEY                          ~AUS~   
Arthur J Gallagher Nordic AB Belgium Branch                 ~NORDIC FÖRSÄKRING & RISKHANTERING AB    ~                                        ~Posthofbrug 6 8 PB 5/134 -              ~                                        ~2600 Antwerpen                          ~ ~Antwerpen                       ~BEL~   
VARTRY REINSURANCE LTD                                      ~BNP PARIBAS VARTRY REINSURANCE LIMITED  ~                                        ~4th Floor 25-28 Adelaide Road           ~                                        ~Dublin 2                                ~ ~Dublin                          ~IRL~   
London Life Barbados P&C - LONB02                           ~LONDON LIFE & CASUALTY REINSURANCE CORP.~                                        ~Life of Barbados Building               ~                                        ~Wildey, St. Michael , BARBADOS          ~ ~Wildey, St. Michael             ~BRB~   
WARTON CAPITAL DAC Transaction Account re HCTC              ~WARTON CAPITAL DESIGNATED ACTIVITY      ~COMPANY                                 ~GROUND FLOOR, CHARLOTTE HOUSE CHARLEMONT~STREET                                  ~DUBLIN D02 NV26                         ~ ~DUBLIN                          ~IRL~   
Arthur J Gallagher Nordic AB Belgium Branch                 ~NORDIC FÖRSÄKRING & RISKHANTERING AB    ~                                        ~Posthofbrug 6 8 PB 5/134 -              ~                                        ~2600 Antwerpen                          ~ ~Antwerpen                       ~BEL~   
Green Reach Solutions Sdn Bhd                               ~SEAQUEST INTERMEDIARIES (L) LIMITED     ~                                        ~Suite 13.01B, 13th Floor, Central Plaza,~34 Jalan Sultan Ismail,                 ~50250 Kuala Lumpur                      ~ ~Kuala Lumpur                    ~MYS~   
GUY CARPENTER & CIA                                         ~GUY CARPENTER & CIA. S.A.               ~                                        ~Paseo de la Castellana, 216 - Planta 22 ~Puerta de Europa                        ~28046 MADRID                            ~28046~MADRID                          ~ESP~   
UNITED INS. BKRS                                            ~UNITED INSURANCE BROKERS LTD            ~                                        ~69 Mansell Street                       ~                                        ~LONDON E1 8AN                           ~8954387~LONDON                          ~GBR~   
GUY CARPENTER & CO                                          ~GUY CARPENTER & COMPANY LTD             ~                                        ~1 Tower Place West                      ~                                        ~London EC3R 5BU                         ~EC3R 5BU~LONDON                          ~GBR~   
MARSH LTD RE GUY CARPENTER                                  ~GUY CARPENTER & COMPANY LIMITED         ~                                        ~1 Tower Place West                      ~                                        ~LONDON EC3R 5BU                         ~EC3R 5BU~LONDON                          ~GBR~   
GUY CARPENTER & CO                                          ~GUY CARPENTER & COMPANY LIMITED         ~                                        ~1 Tower Place West                      ~                                        ~LONDON EC3R 5BU                         ~EC3R 5BU~LONDON                          ~GBR~   
MARSH LTD                                                   ~MARSH LIMITED                           ~                                        ~Victoria House                          ~Queens Road                             ~Norwich. NR1 3QQ                        ~ ~Norwich                         ~GBR~   
TYSERS INSURANCE BROKERS LTD                                ~RFIB GROUP LTD                          ~                                        ~20 Gracechurch Street                   ~                                        ~London EC3V 0AF                         ~ ~LONDON                          ~GBR~   
Marsh S.A Mediadores de Seguros                             ~MARSH S.A. MEDIADORES DE SEGUROS        ~                                        ~Paseo de la Castellana, 216 Puerta de   ~Europa                                  ~28046 MADRID                            ~ ~MADRID                          ~ESP~   
SCOR UK COMPANY LIMITED                                     ~SCOR UK COMPANY LIMITED                 ~                                        ~10 Lime Street                          ~                                        ~LONDON EC3M 7AA                         ~ ~LONDON                          ~GBR~   
AON BENFIELD                                                ~AON VERSICHERUNGSMAKLER DEUTSCHLAND GMBH~                                        ~Caffamacherreihe 16 -                   ~                                        ~20355 Hamburg                           ~ ~Hamburg                         ~DEU~   
AON BENFIELD                                                ~AON VERSICHERUNGSMAKLER DEUTSCHLAND GMBH~(AON BENFIELD)                          ~Caffamacherreihe 16                     ~                                        ~20355 Hamburg                           ~ ~Hamburg                         ~DEU~   
CLAL INS                                                    ~CLAL INSURANCE COMPANY ISRAEL LTD.      ~                                        ~36 Raoul Wallenberg St. AtidimTower     ~                                        ~ Kiryat Atidim                          ~ ~Kiryat Atidim                   ~ISR~   
WILLIS LIMITED                                              ~WILLIS LIMITED                          ~                                        ~Friars Street                           ~                                        ~Ipswich IP1 1TA Suffolk                 ~ ~Ipswich                         ~GBR~   
GENERAL SECURITY INDEMNITY -AZ                              ~GENERAL SECURITY INDEMNITY COMPANY      ~OF ARIZONA                              ~28 Liberty  Street, Suite 5400          ~                                        ~New York NY 10005                       ~10005~New York                        ~USA~NY 
SCOR GLOBAL LIFE SE                                         ~SCOR GLOBAL LIFE SE                     ~                                        ~5, avenue Kléber                        ~                                        ~75795 PARIS CEDEX 16                    ~75013~PARIS                           ~FRA~   
SCOR GLOBAL LIFE SE                                         ~SCOR GLOBAL LIFE SE HEAD OFFICE         ~                                        ~5, avenue Kléber                        ~                                        ~75795 PARIS CEDEX 16                    ~75013~PARIS                           ~FRA~   
WILLIS RE S.A.                                              ~WILLIS RE S.A.                          ~                                        ~127 avenue Charles de Gaulle            ~                                        ~92200  CEDEX NEUILLY SUR SEINE          ~ ~PARIS                           ~FRA~   
SWISSLIFE ASSUR. DE BIENS                                   ~SWISSLIFE ASSURANCES DE BIENS           ~                                        ~7, rue Belgrand                         ~                                        ~92682 LEVALLOIS PERRET CEDEX            ~ ~LEVALLOIS PERRET CEDEX          ~FRA~   
Aon France - Aon Benfield                                   ~AON FRANCE SAS                          ~                                        ~31-35 rue de la Federation              ~                                        ~75717 CEDEX 15 PARIS                    ~042 612430 F LBNP~PARIS                           ~FRA~   
Aon France - Aon Benfield                                   ~AON FRANCE SAS                          ~                                        ~31-35 rue de la Federation              ~                                        ~75717 CEDEX 15 PARIS                    ~042 612430 F LBNP~PARIS                           ~FRA~   
Aon France - Aon Benfield                                   ~AON FRANCE                              ~                                        ~AON RISK SOLUTIONS ARS AON CONSEIL 31 35~- 31 RUE DE LA FEDERATION               ~75015 PARIS                             ~042 612430 F LBNP~PARIS                           ~FRA~   
CGI-BATIMENT                                                ~CAISSE DE GARANTIE IMMOBILIERE DU       ~BATIMENT                                ~6/14, rue de la Perouse                 ~                                        ~75116  16 PARIS                         ~ ~PARIS                           ~FRA~   
COVEA COOPERATIONS                                          ~COVÉA COOPÉRATIONS                      ~ASSURANCES MUTUELLES DE FRANCE          ~1, allée du Wacken                      ~                                        ~67978 CEDEX STRASBOURG                  ~870 039~LE MANS                         ~FRA~   
SCOR EUROPE SE                                              ~SCOR EUROPE SE                          ~                                        ~5 avenue Kléber                         ~                                        ~75016 PARIS                             ~75016~PARIS                           ~FRA~   
SCOR EUROPE SE                                              ~SCOR EUROPE SE                          ~                                        ~5 avenue Kléber                         ~                                        ~75016 PARIS                             ~75016~PARIS                           ~FRA~   
AON UK LIMITED NST                                          ~AON UK LIMITED                          ~                                        ~THE AON CENTRE                          ~                                        ~LONDON EC3V 4AN                         ~ ~LONDON                          ~GBR~   
AON UK LIMITED NST                                          ~AON UK LIMITED                          ~                                        ~THE AON CENTRE                          ~                                        ~LONDON EC3V 4AN                         ~ ~LONDON                          ~GBR~   
HISPANIA                                                    ~HISPANIA RISK BROKER, CORREDURIA DE     ~SEGUROS Y REASEGUROS, S.A.              ~Calle Velazquez, 100                    ~                                        ~28006 Madid                             ~ ~MADRID                          ~ESP~   
ED BROKING                                                  ~ED BROKING LLP (EX. CGNMB LLP)          ~                                        ~52 Leadenhall Street                    ~                                        ~LONDON EC3A 2EB                         ~ ~LONDON                          ~GBR~   
ED BROKING                                                  ~ED BROKING LLP (EX. CGNMB LLP)          ~                                        ~52 Leadenhall Street                    ~                                        ~LONDON EC3A 2EB                         ~ ~LONDON                          ~GBR~   
AON REINSURANCE IBERIA SAU CORREDURIA DE REASEGUROS         ~AON REINSURANCE IBERIA CORREDURIA DE    ~REASEGUROS SA.                          ~Calle de Velázquez 86D                  ~                                        ~28002 MADRID                            ~ ~MADRID                          ~ESP~   
SCOR GLOBAL RE IRELAND DAC                                  ~SCOR GLOBAL REINSURANCE IRELAND DAC     ~                                        ~1st Floor, 1 Windmill Lane              ~                                        ~D02 F206 Dublin                         ~ ~Paris                           ~IRL~   
